"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00283704","1997-01-01","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0","T,,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,0",,,,,,
"USC00283704","1997-01-02","40.7481","-74.152","7.3","HARRISON, NJ US","    3",",,0,2400","    0","T,,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,0",,,,,,
"USC00283704","1997-01-03","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-01-04","40.7481","-74.152","7.3","HARRISON, NJ US","    0","P,,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-01-05","40.7481","-74.152","7.3","HARRISON, NJ US","    0","P,,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-01-06","40.7481","-74.152","7.3","HARRISON, NJ US","    0","P,,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-01-07","40.7481","-74.152","7.3","HARRISON, NJ US","    0","P,,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-01-08","40.7481","-74.152","7.3","HARRISON, NJ US","   71",",,0,2400","   20",",,0,","    0","T,,0,",,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,0",,,,,,
"USC00283704","1997-01-09","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0","T,,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,0",,,,,,
"USC00283704","1997-01-10","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-01-11","40.7481","-74.152","7.3","HARRISON, NJ US","   20",",,0,2400","   51",",,0,","   51",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,0",,,,,,
"USC00283704","1997-01-12","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","   25",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-01-13","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0","T,,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-01-14","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-01-15","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-01-16","40.7481","-74.152","7.3","HARRISON, NJ US","  254",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-01-17","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0","T,,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,
"USC00283704","1997-01-18","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
